Name,Year,Duration,Genre,Rating,Votes
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7,8
#Yaaram,2019,110,"Comedy, Romance",4.4,35
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,827
...Yahaan,2005,142,"Drama, Romance, War",7.4,1086
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,326
@Andheri,2014,116,"Action, Crime, Thriller",4,11
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,17
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,59
100 Days,1991,161,"Horror, Romance, Thriller",6.5,983
100% Love,2012,166,"Comedy, Drama, Romance",5.7,512
102 Not Out,2018,102,"Comedy, Drama",7.4,6619
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,162
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,72
12 O'Clock,2021,105,"Horror, Thriller",4.4,63
127 B,2017,116,"Comedy, Horror",6.6,26
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,6329
15 Park Avenue,2005,116,Drama,7.1,1002
15th August,1993,168,Drama,5.6,15
16-Dec,2002,158,"Action, Thriller",6.9,1235
18.11,2014,126,Action,3.5,10
19 Revolutions,2004,94,Drama,4.5,16
1920,2008,138,"Horror, Mystery, Romance",6.4,3100
1920 London,2016,120,"Horror, Mystery",4.1,1559
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,1811
1921,2018,144,"Horror, Mystery, Romance",4.5,1069
1942: A Love Story,1994,157,"Action, Drama, History",7.2,3223
1971,2007,136,"Action, Drama, War",8.1,1892
1978: A Teen Night Out,2019,107,Thriller,4,20
1982 - A Love Marriage,2017,113,Comedy,5.5,106
2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",6.8,21
02-Oct,2003,122,"Action, Crime, Thriller",5,33
2 States,2014,149,"Comedy, Drama, Romance",6.9,24034
2,2018,148,"Action, Sci-Fi",6.2,21938
2001: Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",3.5,112
2016 the End,2017,130,Comedy,6.1,94
22 Days,2018,124,Thriller,6.1,8
22 June 1897,1979,121,"Drama, History",7.7,52
22 Yards,2019,126,Sport,6.1,361
23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",5.1,642
27 Down,1974,115,Drama,6.9,194
3 AM: A Paranormal Experience,2014,103,"Horror, Romance",5,514
3 Bachelors,2012,114,"Comedy, Romance",3.3,165
3 Deewarein,2003,115,"Crime, Drama",7.8,2322
3 Dev,2019,122,Comedy,6.9,35
3 Idiots,2009,170,"Comedy, Drama",8.4,357889
3 Storeys,2018,100,Drama,6.9,358
3.0 Megapixel,2015,99,"Adventure, Drama",4.3,6
31st October,2015,109,"Action, Drama, History",5.8,238
36 China Town,2006,140,"Comedy, Mystery, Thriller",5.7,4373
36 Chowringhee Lane,1981,122,"Drama, Romance",7.5,392
376 D,2020,128,"Crime, Thriller",5.7,252
377 AbNormal,2019,93,Drama,5.6,93
3D Saamri,1985,102,Horror,5.6,80
3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",3.6,1128
3rd EYE,2019,145,Horror,6.3,6
404: Error Not Found,2011,121,"Drama, Mystery, Thriller",7.3,2548
417 Miles,2016,75,Drama,4.8,9
498A-The Wedding Gift,2012,113,"Drama, Family, Musical",7.8,21
5 Ghantey Mien 5 Crore,2012,111,Thriller,5.7,75
5 Rifles,1974,134,"Action, Comedy",6.5,36
5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",4.6,19
6-5=2,2014,104,Horror,4.2,171
68 Pages,2007,92,Drama,6.2,31
7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",5.3,281
7 Bijliyaan,1988,126,Action,5,7
7 Hours to Go,2016,115,"Crime, Thriller",5.7,398
7 Islands and a Metro,2006,100,Documentary,6.2,10
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.1,5640
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,34
706,2019,120,Thriller,5.3,449
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,249
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5.4,5459
8119 Miles,2021,115,"Adventure, Drama, Mystery",6.6,21
88 Antop Hill,2003,119,"Mystery, Thriller",4.7,66
9 O' Clock,2017,124,Action,5.3,9
99,2009,135,"Comedy, Crime, Drama",7.3,2767
99 Songs,2019,128,"Musical, Romance",7.4,1901
99.9 FM,2005,90,"Crime, Drama",4.8,38
A Billion Colour Story,2016,105,Drama,8.1,412
A Daughter's Tale PANKH,2017,145,Drama,6.3,10
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,4637
